,user,avg_nr_word_per_sent,nr_sents,std_nr_word_per_sent,nr_chars,nr_letters,nr_lower,nr_nums,nr_punctuation,nr_spaces,nr_upper,nr_colons,nr_commas,nr_dots,nr_exclamation,nr_hyphens,nr_question,nr_semicolons,HTR,TTR,avg_characters_per_word,most_frequency,nr_longwords,nr_stopwords,nr_words,avg_length_np,nr_function,nr_pos,nr_named_entity,nr_neg_word,nr_positive_word,nr_greeting,score_semantic
0,1,17.25,4.0,9.878427675158298,224,196,190,11,9,8,6,0,4,3,0,2,0,0,0.52,0.72,3.92,4.0,12.0,27.0,50.0,7.857142857142858,21.0,14.0,15,0,0,0.0,0.0258
1,1,21.52631578947368,19.0,49.29882624369314,1514,1199,815,65,206,44,384,5,31,6,1,5,1,0,0.5377358490566038,0.6745283018867925,4.466981132075472,22.0,62.0,51.0,212.0,11.446808510638304,44.0,16.0,193,0,1,0.0,0.902
2,1,19.17241379310345,29.0,12.050693416673589,2147,1760,1585,56,146,185,175,8,15,16,0,4,8,0,0.37626262626262624,0.5404040404040404,4.320707070707072,13.0,113.0,167.0,396.0,10.20183486238532,132.0,17.0,151,0,2,0.0,0.9634
3,1,10.114583333333334,96.0,8.392816215972308,3816,2675,2176,222,479,440,499,49,16,22,0,1,7,0,0.21666666666666667,0.3616666666666667,4.191666666666666,22.0,129.0,198.0,600.0,9.891191709844561,174.0,16.0,342,0,0,0.0,0.9764
4,1,16.285714285714285,14.0,15.329351290547526,1008,747,657,33,95,133,90,17,3,5,0,1,0,0,0.5912408759124088,0.7445255474452555,5.4160583941605855,8.0,64.0,39.0,137.0,15.307692307692307,36.0,15.0,80,0,0,0.0,0.9359999999999999
5,1,7.5,4.0,4.203173404306164,124,108,103,0,4,12,5,0,1,3,0,0,0,0,0.7083333333333334,0.8333333333333334,4.5,3.0,7.0,12.0,24.0,9.125,6.0,11.0,5,0,0,0.0,0.0516
6,1,19.103448275862068,29.0,14.548796777903288,2229,1847,1705,62,175,145,142,8,16,13,0,1,1,0,0.33413461538461536,0.4879807692307692,4.326923076923077,23.0,103.0,209.0,416.0,10.191304347826087,158.0,16.0,137,2,1,0.0,0.9906
7,1,23.92307692307693,26.0,17.558868020286678,2397,2225,2076,27,97,48,149,5,29,18,1,1,0,15,0.3714859437751004,0.5321285140562249,4.343373493975903,26.0,134.0,234.0,498.0,7.6566265060240974,178.0,16.0,128,5,1,0.0,-0.9101
8,1,14.75,4.0,9.604686356149273,209,196,183,0,3,10,13,0,0,3,0,0,0,0,0.76,0.84,3.92,6.0,8.0,25.0,50.0,7.7142857142857135,20.0,13.0,10,0,0,0.0,0.7783
9,1,13.833333333333336,24.0,15.403745074456424,1232,931,648,44,158,99,283,8,18,12,0,1,0,0,0.2185792349726776,0.4699453551912569,4.5081967213114735,12.0,52.0,44.0,183.0,11.745454545454544,36.0,16.0,110,0,0,0.0,0.6504
